url_path,views_total,views_unique
/demichie/elicipy,12,5
/demichie/elicipy/tree/main/ELICITATIONS,12,2
/demichie/elicipy/blob/main/ELICITATIONS/Cotopaxi/ElicipyDict.py,9,2
/demichie/elicipy/tree/main/ELICITATIONS/Cotopaxi,9,2
/demichie/elicipy/tree/main,9,1
/demichie/elicipy/blob/main/README.md,4,2
/demichie/elicipy/tree/main/UTILS,4,1
/demichie/elicipy/blob/main/Elicipy.py,2,1
/demichie/elicipy/blob/main/UTILS/change_csv.py,2,1
/demichie/elicipy/edit/main/ELICITATIONS/Cotopaxi/ElicipyDict.py,2,1
