url_path,views_total,views_unique
/demichie/elicipy/tree/main/ELICITATIONS/Cotopaxi,5,1
/demichie/elicipy/blob/main/computeIndex.py,4,2
/demichie/elicipy,3,3
/demichie/elicipy/blob/main/Elicipy.py,3,1
/demichie/elicipy/blob/main/ELICITATIONS/Cotopaxi/createWebformDict.py,3,1
/demichie/elicipy/tree/main,2,1
/demichie/elicipy/blob/main/ELICITATIONS/Cotopaxi/ElicipyDict.py,1,1
/demichie/elicipy/tree/main/ELICITATIONS,1,1
/demichie/elicipy/tree/main/ELICITATIONS/Cotopaxi/DATA,1,1
/demichie/elicipy/tree/main/ELICITATIONS/Cotopaxi/DATA/images,1,1
